OP_CARRIER,ORIGIN,DEST,MONTH,DAY_OF_WEEK,CRS_DEP_TIME,DISTANCE,DEP_DELAY,ARR_DELAY
6E,FRA,ATL,2,5,2275,2348,10.584423025719659,14.771749694043518
G8,LHR,ORD,3,3,830,1477,37.74785608878435,37.61022012217318
AS,DEL,MIA,2,7,1697,349,-1.7255165537655106,-9.036723363855886
UK,DEN,MEL,12,4,964,2114,30.567765455241826,12.78708486947022
UK,MAA,CDG,10,6,1483,957,-15.0,-2.0858308064132007
SG,MIA,PNQ,10,3,1016,2885,4.767773951795876,14.416198298224264
NK,LHR,BOM,5,4,1632,596,25.59316538169268,23.254870101299826
AA,MAA,LAS,2,7,391,1595,10.773873118506575,24.56962645617348
AA,ORD,LAX,3,6,244,1808,-8.223314870610636,-6.795671495531242
G8,SEA,PNQ,6,5,2070,1426,67.35476484225796,72.25019920229576
AI,DEL,SFO,2,7,1170,1039,4.85130680485938,3.2601671241469745
UA,BOM,LAX,3,3,1131,2318,-3.933811232466312,-11.304961878904763
NK,MIA,DXB,3,7,2141,1033,23.02029417858817,18.562495528886153
AS,COK,DXB,5,5,1514,1474,6.126217582568197,33.14796890997801
F9,GOI,DXB,6,6,1096,2677,-10.429466703075082,-4.2441693232181485
AI,DFW,HYD,7,4,1359,2194,26.00119107006214,18.940139002207978
B6,COK,AMD,12,2,1152,2161,4.777734431646454,2.074299581853773
AA,SEA,NRT,9,2,1292,1859,-8.214900567171695,-9.253055719417542
6E,DFW,DEN,3,6,309,1715,8.67193658452409,5.666566669483396
UK,BKK,LAX,6,4,1088,1369,0.5243299487307755,-15.876071892113666
SQ,JFK,MCO,7,4,999,2010,34.21309082673303,26.858253826470413
LH,AMD,DEN,3,6,1301,2561,13.78044444604254,23.98473167848227
LH,CCU,JFK,10,7,844,2358,25.752162254404,16.16998414757966
UK,SFO,BOS,9,1,626,1856,65.13383859931366,71.85046373489058
NK,NRT,DXB,3,7,1582,615,-15.0,-0.17316585485364655
DL,DFW,PNQ,2,5,1283,668,-15.0,-10.927449669913962
UA,DEL,CCU,3,5,472,2610,-0.7038159795886259,-17.775419720587227
LH,LHR,BOM,7,2,1393,270,-15.0,-26.74985458276089
B6,HKG,ATL,7,2,1749,2622,42.74909603930483,26.113706475421434
LH,BOS,DXB,9,5,1680,924,7.850945330194685,-4.2321716815691435
LH,SEA,BKK,8,3,182,2964,-6.148915659436066,-8.421585314701087
LH,COK,BOM,6,2,1352,213,-7.352675022949182,-16.925338332011982
DL,GOI,SFO,5,3,1077,2900,19.50730760655893,29.42819537546846
DL,AMD,JFK,9,7,815,1441,-8.705195265201613,-11.858963903042508
B6,SYD,DXB,6,3,367,280,1.3355269115853758,4.570642335872824
AA,DEN,DEL,7,6,1271,870,145.99287829863079,167.91540064924433
AA,SYD,COK,12,4,1083,2825,29.21897298963158,40.42225446346012
DL,MAA,CCU,7,4,1529,969,-15.0,-2.6816029375652057
UK,ATL,SYD,4,1,2008,1053,-9.333840314701987,-6.147233622925418
AS,BLR,BOS,3,4,471,1420,-15.0,-27.613664695869385
WN,COK,SFO,2,5,664,2116,26.986030487835933,30.700367675270332
SG,KUL,NRT,10,1,455,1783,22.0679999321677,27.691573601510168
LH,DXB,ATL,9,1,1145,2471,-15.0,-22.71176090996427
AS,SYD,LHR,9,7,307,1247,-10.385862041761857,-15.893985096167267
B6,COK,MEL,2,2,803,300,39.7389740758856,36.99347613982613
DL,MIA,CDG,6,4,598,548,-6.653953960483982,-15.292757577514458
AS,CCU,BLR,4,5,596,2361,-15.0,-20.12545718772505
SG,KUL,NRT,2,3,1145,370,48.025476609432104,43.408068393088705
BA,DFW,LHR,10,7,1264,2130,23.627533863438927,22.106123163140865
BA,ATL,JFK,3,4,1670,881,59.74968335894811,55.17542919470511
AA,LHR,FRA,1,2,826,948,1.0132689402078712,3.400241679423937
AI,PNQ,DEN,6,7,2233,1710,-15.0,-16.95688310753234
AS,HYD,DEN,11,3,935,221,-15.0,-6.05007601286513
BA,COK,HKG,9,5,2195,201,-15.0,-27.415055450954434
UA,SYD,GOI,10,6,304,2170,30.01670642131156,31.949165139341577
WN,CDG,DFW,9,2,1112,648,22.1282830423677,22.781003529884018
UA,FRA,HYD,4,7,274,1786,-15.0,-7.92067658842809
NK,MEL,BKK,3,4,1612,1711,58.860120859744484,48.503586951079264
AI,DXB,LHR,1,5,1800,1731,20.437834869163687,1.2195932184143707
AA,MAA,MEL,1,2,2239,357,31.307111055710315,19.627332268666507
F9,BOM,SIN,2,1,47,2687,0.9276658330432177,5.531033691077944
NK,BOM,MEL,4,1,1009,2999,-1.1731232261462097,6.774973872112618
QR,CDG,DXB,12,7,525,2394,17.054484731348637,13.708485197739318
F9,FRA,MIA,10,6,1564,2661,7.882803410519841,0.9774109677049276
AA,DEN,SIN,7,7,1439,976,17.292168034662904,14.875270968451503
SG,SEA,HYD,8,5,2353,2834,34.61951341245201,51.20033242330705
QR,FRA,LAX,7,3,24,259,-0.27974636668398123,-9.676383179917966
6E,BLR,MCO,5,5,306,610,-15.0,-21.05662493005927
UA,LHR,BLR,2,5,2391,1641,-0.9330191094588431,-18.260262415326387
NK,CCU,BOM,3,3,67,392,35.54928206976473,51.5922290694522
BA,ICN,MAA,6,4,1854,1066,60.030521002164555,54.75690388634679
BA,MAA,DXB,4,5,1963,1982,39.49902380563474,47.39501075549924
LH,MIA,DXB,1,2,653,2587,18.32811121271344,7.838890765316167
DL,HYD,MAA,1,4,2368,2736,23.32523774756075,16.504406701663836
AA,LHR,SYD,1,2,1355,880,15.190069281523119,28.64221921166719
BA,BLR,MAA,3,5,2106,2246,9.729292734780609,9.825396302675586
UK,LHR,ORD,11,5,532,1325,17.091604735605348,5.650360505095266
B6,GOI,ICN,11,5,1480,2062,49.07400952314079,33.891882365444744
B6,AMD,MEL,3,4,1098,2069,46.43033617018572,34.1197430458422
AI,SIN,FRA,4,5,1691,2285,26.343155443623818,38.99687949545672
AI,SFO,ICN,5,4,2224,470,23.207158574115056,20.809006534319856
UA,MIA,SYD,4,3,1848,532,13.983425495948474,11.869521401594254
BA,BOS,ATL,12,1,1947,2507,0.8194693552668406,5.69786106672936
UA,LHR,ORD,11,7,880,2648,13.547310303337833,20.88667358244424
AA,MEL,MIA,1,3,1543,2462,-15.0,-24.57254141550142
SG,BOS,BLR,6,4,410,1907,26.902288134687424,34.158299490897186
LH,MAA,SFO,11,2,428,2129,13.872011147861866,18.813930835862827
F9,KUL,DFW,4,1,636,2261,29.85434068443326,24.483079706332674
WN,BLR,SFO,12,5,2072,2383,27.205983671669614,28.078250718686128
AS,BLR,SFO,7,3,1841,1883,18.486452054459654,0.13439544198776332
F9,SFO,MAA,2,6,2089,1422,8.581588154985816,6.934812286824203
UA,ORD,KUL,7,7,958,1193,2.3239596884170295,15.520967195955453
BA,JFK,HKG,8,4,1131,1600,-7.834279396222944,-7.6317234737437465
UA,HKG,DFW,6,2,1779,1526,27.891898139248596,20.28611179376911
QR,COK,SIN,5,5,131,2282,16.514748736977957,35.198544126790324
EK,LAX,COK,12,5,20,2222,0.5111977135334644,1.5667172479945877
QR,CCU,JFK,5,6,1543,2498,-5.644412405433836,-5.660367187273555
DL,BOS,SEA,11,3,1477,929,11.823318545636464,3.8343787382866523
UA,LAS,MIA,8,4,513,2574,-1.1646091824628244,-3.4928438274304803
BA,PNQ,BLR,3,4,2144,381,-15.0,0.5309278126983941
AI,BOS,JFK,6,4,340,2200,46.67747313824665,61.631235826947545
WN,FRA,BLR,9,2,2108,2948,-15.0,-10.762486339349415
AA,NRT,MIA,5,5,1112,735,35.72952463341889,50.517975247948
WN,LHR,BOM,6,6,511,2924,-5.6435429637976915,-16.199377509191486
AA,AMD,ORD,11,4,1740,2066,14.583994801103106,16.350339833162458
EK,ORD,CCU,11,3,2100,2164,19.487824432560387,21.400000453477762
BA,ORD,FRA,9,3,1861,2353,21.993510012030868,24.70929879738195
F9,SFO,HYD,3,4,659,834,-3.8875721997358657,11.777480073441685
NK,BKK,LHR,11,6,142,2799,-7.443247744287291,2.1476376340465695
UA,SYD,JFK,9,2,2384,2598,-1.5118889063203027,16.614523887728883
LH,BOS,LHR,10,4,208,2371,-4.6691676611097614,2.9185577669453275
AA,DEL,MAA,1,2,414,2389,-15.0,-1.762372089518319
BA,MCO,LAS,9,7,360,2436,-13.939058156303757,-24.330824088924373
UK,PNQ,HKG,6,5,153,864,-15.0,-17.504564364762388
EK,GOI,SFO,12,5,528,329,15.721164593242225,7.344245764199005
AS,BOM,HKG,8,2,1228,1604,139.46028765657357,127.05757594587988
AS,SIN,BKK,9,4,466,2868,-13.302995228637645,-22.124629642500615
G8,SFO,ICN,3,3,1496,2637,32.948843064555305,22.602634041312506
F9,LAX,DFW,4,7,1238,304,-8.848557078885445,-14.092727925071003
DL,JFK,LAX,2,6,1065,1091,-8.877413439485847,-1.610064566258325
AA,SEA,DEN,5,7,758,2996,-4.801149934574227,-1.042213599234203
SQ,ATL,LHR,9,1,1833,138,15.498341714706552,6.142429131792856
AA,PNQ,SEA,12,2,1367,266,18.477454394456053,11.954931856089344
B6,JFK,SYD,11,2,2244,640,-9.25005187679307,-8.270354119093655
BA,KUL,LAX,1,6,567,833,2.7658705352050257,-5.6171138078830145
WN,DEL,JFK,1,2,768,384,89.80215115195871,88.82022422351697
UA,GOI,LAS,1,2,1338,2670,-6.949923094883214,-16.999241552208623
LH,MIA,FRA,5,1,1662,104,0.12279051433571997,15.779170426813732
LH,JFK,SIN,4,3,140,726,-15.0,-2.120550474894733
UK,BLR,FRA,2,7,1268,2930,4.079918809685434,7.652341285971266
EK,GOI,KUL,1,6,1971,878,20.561094563002463,43.55417182940191
AS,GOI,BLR,4,7,479,1759,2.669939468651428,1.5436973152149709
UA,HKG,LAS,1,1,1375,1963,43.071508301194456,46.01674035150425
AI,HYD,BKK,3,4,931,2912,30.366771814426684,36.35151651394882
B6,SFO,LAS,12,5,204,527,10.672032411229704,15.029499895700283
LH,DXB,ICN,6,4,595,1569,33.9389846449251,44.16893265231488
EK,COK,SIN,11,6,401,2166,-2.263575250784764,-13.442187842527474
UA,MCO,ORD,6,6,542,2308,12.967539872414747,14.171624944691942
AA,CCU,KUL,3,1,531,2955,-10.94847436590939,-5.283471934744252
AA,ORD,SFO,4,5,2023,2701,-3.4538396415403034,3.7049643081203647
UA,MIA,SYD,2,3,2364,1422,14.27182341448075,26.687304218550423
QR,COK,DXB,9,3,824,719,29.69616866190542,18.587627932011426
6E,COK,NRT,1,5,1640,428,23.18173416303313,12.86687465198298
UA,COK,KUL,5,4,887,1717,19.344660140099947,2.63971193317899
F9,JFK,NRT,3,1,1741,137,2.3526254977607923,0.4271587255096494
EK,PNQ,MIA,1,1,1157,2965,21.56046503775088,12.601304506187363
QR,JFK,ORD,3,7,2182,1686,5.874321682011848,24.50249627502859
SQ,SEA,SFO,6,4,2106,632,-15.0,-1.5316505313614108
DL,NRT,LAS,4,5,979,1323,28.982754891494928,62.106260459151706
6E,LAX,AMD,10,6,886,1007,8.955591283270275,8.41994884570837
DL,DEL,SEA,7,1,2182,1711,-15.0,-9.977688006132404
LH,FRA,BLR,2,6,2137,2124,13.028338751739335,9.556660740499414
F9,DXB,LHR,2,5,1528,582,17.695878814770026,13.829116083541603
AA,MEL,MIA,12,4,736,595,53.95720495575409,46.36047569377869
AI,LHR,DFW,6,6,2357,497,10.90383921548589,7.430058174579285
SG,DXB,BOS,7,7,2126,315,25.80432131753127,13.969902613037021
BA,HKG,KUL,8,6,1933,1597,26.91455366351927,17.62650688557467
NK,CDG,SIN,8,5,1592,1560,-7.8792105389424805,-0.723727653502805
6E,MIA,SEA,3,6,1410,731,-11.62376318035644,-10.868602286849068
UA,DFW,GOI,9,7,538,1018,-15.0,2.8834440410440543
QR,SEA,KUL,11,3,549,1475,-1.0458734114330799,-5.244804333233914
G8,BLR,JFK,7,3,569,1998,17.389237208123543,33.2855689816586
NK,LAS,PNQ,5,5,967,1766,23.491094785308423,0.05453190779641304
WN,HKG,MAA,8,2,1375,643,-11.863657336501456,-13.325395451991781
G8,CDG,HKG,3,2,2084,124,-15.0,-23.295637907162714
AA,MAA,COK,6,2,1747,2422,23.68623720755733,34.74594714777741
F9,MEL,DXB,6,7,1787,1438,31.915061077928634,35.85490064366738
EK,PNQ,SYD,12,6,2015,2485,41.40607413950265,27.868793812949505
BA,ATL,SFO,9,3,727,1580,4.327002446192209,10.653433828121154
EK,SIN,MIA,3,5,1120,1485,-9.853217937430873,-8.112996876069026
UK,NRT,AMD,7,6,845,961,-15.0,-10.697344842407274
SQ,DEN,BOM,3,4,367,1232,-15.0,-24.68043823432334
DL,DEN,LHR,12,6,460,1041,12.750609521931015,8.950788012534149
DL,DFW,NRT,5,3,1918,2613,17.566043141692337,28.293979037559822
LH,ORD,SFO,5,3,891,2502,-9.195004978266024,-1.7493743774961201
6E,NRT,PNQ,9,5,2388,2477,8.186788864112955,18.042772232705037
AS,HKG,BKK,12,5,351,2024,-15.0,-14.18486156651152
SQ,MIA,GOI,5,6,1667,1037,-15.0,-14.434891588465433
SG,BLR,PNQ,3,1,1987,323,31.406804933436124,14.067157843516505
B6,BKK,SYD,2,6,1028,104,21.665626621085273,20.40928237720894
AA,KUL,ICN,12,7,1369,2284,36.439971343792024,53.413538610871086
F9,COK,CCU,5,5,373,2088,5.566822048771629,13.249539551923645
UK,DFW,ORD,2,2,1648,2791,-11.056366794240173,-9.326084771301641
UK,HYD,MCO,9,3,1347,1636,10.30000612694635,13.434310442837603
B6,NRT,SEA,1,3,776,1871,45.631444266207865,56.666184370993825
NK,MIA,COK,6,7,1889,406,8.02999159906692,-0.1664506533879706
WN,BOM,DXB,2,5,1111,2240,36.56643109750483,32.020489869095144
AS,LAS,LAX,1,2,2143,570,-13.499377473787886,4.297561752027379
G8,ORD,HYD,3,5,2044,2334,21.427212592664308,9.00524692064817
UA,SIN,LAS,5,1,1434,1254,2.1760986066551062,0.1756825597427114
F9,PNQ,DXB,6,1,1628,596,-5.213759232988981,-4.786670446893613
BA,MCO,DEL,3,3,1375,1473,39.08748405259943,33.60433493714647
G8,SFO,CCU,3,2,2270,1353,-10.089305822281473,-1.7758268074884285
QR,ATL,CDG,12,2,848,519,19.178968463964118,10.149235583556504
6E,MCO,MAA,2,6,251,1317,-15.0,-19.701490439556594
LH,LAX,SEA,6,4,73,1835,7.616217405261973,22.37259944433717
B6,GOI,JFK,8,2,1683,2101,34.22516460925256,40.66544015953926
AI,SEA,LAX,10,1,758,2443,-2.082362966594009,-19.21959037796689
UK,NRT,MCO,11,4,1266,1543,-15.0,-11.22873309328552
AA,BKK,DXB,4,6,2051,1287,-15.0,-8.366890518114474
AA,FRA,JFK,6,3,510,1381,1.3512738217450941,-8.857361939840862
SQ,JFK,DEL,5,5,10,1211,-3.977837953142605,1.1609894112460735
DL,BKK,SEA,10,3,1891,1716,-12.89265085207828,-3.0783917629144177
BA,ORD,KUL,9,4,741,1928,-9.836478891622148,-30.11157463034862
F9,GOI,MAA,1,5,814,882,47.09109756913267,43.71637247440145
G8,MEL,HYD,5,1,831,272,31.92761715088068,31.042712775258288
AA,COK,KUL,9,6,1908,2851,20.169214449225596,25.147227930281453
BA,DEL,KUL,9,1,969,2768,5.8261423473753435,6.923443395283234
NK,AMD,DEN,9,4,849,2808,51.70900894092496,43.14134586389807
B6,SYD,MIA,11,6,834,489,4.770835082173458,4.659973090758152
UA,DFW,HKG,4,6,2189,512,-15.0,-5.28129474927383
UK,AMD,JFK,2,3,2025,262,7.637214927025911,4.118345706612334
BA,SFO,DEN,9,4,823,1302,5.6848296919174,-3.1112294986278037
B6,BLR,LAS,4,1,513,1826,22.129575710245987,25.571914710799778
EK,LHR,NRT,12,7,861,2605,15.984625703204845,38.91047074541922
B6,COK,FRA,12,2,1286,1948,25.46773166588268,19.662175312142164
SQ,DXB,COK,4,5,2160,1862,9.956937822430582,25.41653503194849
LH,MCO,DFW,8,3,1526,2973,19.8596814278415,21.27908314020509
EK,SFO,SEA,6,3,992,2414,-15.0,-9.444648054344043
B6,LHR,CDG,8,2,2245,1238,2.570966041399073,14.507856441609349
UK,SIN,MIA,4,3,1319,2334,29.491468261784014,27.64104452066986
BA,LAX,BOS,3,3,1800,1484,12.060281048757332,12.745652578411201
BA,GOI,MIA,5,4,2068,2031,10.40069287183165,4.121884403581352
NK,PNQ,CDG,3,4,1246,902,-3.9068754478372565,0.6110248680866626
WN,NRT,AMD,12,6,1976,2257,6.2190976547942185,8.861288704534141
AA,PNQ,MAA,10,3,572,1875,51.133437416800575,51.90475148666924
B6,CCU,ICN,6,2,909,1117,58.33881818879338,66.06809310840313
6E,DEN,LAX,11,6,90,1048,-12.650459710887475,-25.022621720173348
B6,BOS,SEA,1,2,1278,649,81.88120013543968,76.95432372748306
WN,COK,BKK,8,4,1861,2844,23.255188664347063,41.223560942820185
DL,BOM,ORD,3,7,361,2383,-15.0,-21.23675557421224
6E,HKG,MAA,6,2,429,1651,36.63134839114665,35.91788574115538
AA,DEN,COK,9,4,447,1705,5.904232968600294,13.129631732378575
B6,MAA,SIN,7,2,349,743,-1.3464589763340165,20.039105014800015
G8,DXB,MAA,4,3,1887,2529,31.191572411312567,39.430125073476994
WN,DEL,PNQ,2,5,1412,102,8.345343465501248,14.160511800887456
BA,PNQ,DEL,4,1,938,2235,30.63713666211602,8.958051028856922
BA,LAX,HYD,10,3,804,948,-4.4029186909048335,-8.651519295373099
DL,AMD,GOI,5,7,520,2519,-15.0,-12.14443237964811
LH,GOI,PNQ,7,7,1495,869,92.7448326932629,91.70004262692514
UK,LAX,DXB,7,6,1553,2514,19.608093939265828,21.71079131815427
QR,BOM,MAA,5,6,2242,705,-15.0,-12.319512112929125
UA,JFK,DXB,8,4,1961,441,18.39054411459573,32.51794828951751
AA,LAX,BOS,3,6,141,1022,4.486762346861594,8.973475118024478
AA,SIN,DFW,12,4,2259,980,50.043222578495445,40.98808857061976
SG,NRT,CCU,9,3,1724,2136,-1.8056299829375044,-5.104777458587035
B6,NRT,FRA,1,7,1968,2288,24.032664686327777,21.7447458431404
UK,ORD,FRA,2,5,83,1593,18.922315269935346,-1.2369066835303215
UA,JFK,CDG,10,5,297,2494,-0.5893331556869725,6.156224551097575
AA,MEL,HKG,9,6,1253,1727,-15.0,-21.590876889813188
AA,MIA,SYD,1,7,253,432,21.709729775068425,38.120394143978544
F9,COK,AMD,10,4,1219,2857,14.578529580675744,15.796557561950063
6E,DEN,SEA,3,5,734,424,-15.0,-19.969805873556766
SG,JFK,LAS,11,3,1196,116,13.446582480351609,-1.307325939443519
UK,DFW,PNQ,2,4,48,2342,9.705172455265227,17.01207132000657
G8,DEL,HKG,7,3,1665,2328,-2.4957788159670597,-12.937056991840834
UK,DXB,SIN,11,3,2235,462,2.0780429093271486,-5.114731090624949
